retardo_ms,timeout_s,repeticion,codigo_http,latencia_ms
0,30.0,1,201,509.1
0,30.0,1,201,137.7
0,30.0,1,201,493.4
0,30.0,1,201,155.1
0,30.0,1,201,269.8
0,30.0,1,201,312.0
0,30.0,1,201,159.3
0,30.0,1,201,214.6
0,30.0,1,201,132.0
0,30.0,1,201,112.7
0,30.0,1,201,287.7
0,30.0,1,201,132.3
0,30.0,1,201,118.8
0,30.0,1,201,139.4
0,30.0,1,201,270.9
0,30.0,1,201,126.2
0,30.0,1,201,591.5
0,30.0,1,201,90.4
0,30.0,1,201,120.3
0,30.0,1,201,413.1
0,30.0,1,201,83.2
0,30.0,1,201,393.5
0,30.0,1,201,403.2
0,30.0,1,201,100.5
0,30.0,1,201,405.8
0,30.0,1,201,93.3
0,30.0,1,201,132.4
0,30.0,1,201,84.0
0,30.0,1,201,698.3
0,30.0,1,201,249.3
0,30.0,1,201,116.1
0,30.0,1,201,82.8
0,30.0,1,201,138.6
0,30.0,1,201,90.3
0,30.0,1,201,201.8
0,30.0,1,201,249.8
0,30.0,1,201,149.7
0,30.0,1,201,81.2
0,30.0,1,201,116.4
0,30.0,1,201,76.6
0,30.0,1,201,118.9
0,30.0,1,201,107.2
0,30.0,1,201,260.9
0,30.0,1,201,127.5
0,30.0,1,201,154.2
0,30.0,1,201,116.6
0,30.0,1,201,90.7
0,30.0,1,201,193.0
0,30.0,1,201,196.3
0,30.0,1,201,139.1
0,30.0,1,201,147.7
0,30.0,1,201,139.0
0,30.0,1,201,140.5
0,30.0,1,201,154.4
0,30.0,1,201,66.5
0,30.0,1,201,47.2
0,30.0,1,201,85.9
0,30.0,1,201,149.1
0,30.0,1,201,47.0
0,30.0,1,201,53.2
500,1.0,1,201,1083.6
500,1.0,1,201,1084.0
500,1.0,1,503,1134.9
500,1.0,1,201,1084.0
500,1.0,1,503,1140.0
500,1.0,1,503,1148.6
500,1.0,1,201,1084.0
500,1.0,1,201,1104.4
500,1.0,1,201,1090.4
500,1.0,1,503,1142.3
500,1.0,1,503,1118.2
500,1.0,1,201,1092.3
500,1.0,1,503,1157.6
500,1.0,1,503,1146.2
500,1.0,1,503,1147.3
500,1.0,1,503,1157.8
500,1.0,1,503,1152.6
500,1.0,1,503,1124.7
500,1.0,1,503,1123.1
500,1.0,1,503,1155.1
500,1.0,1,503,1127.8
500,1.0,1,201,1078.7
500,1.0,1,503,1119.1
500,1.0,1,503,1115.4
500,1.0,1,503,1137.1
500,1.0,1,503,1162.5
500,1.0,1,503,1109.2
500,1.0,1,503,1127.9
500,1.0,1,201,1074.1
500,1.0,1,503,1161.5
500,1.0,1,503,1140.7
500,1.0,1,503,1139.8
500,1.0,1,503,1137.2
500,1.0,1,201,1089.4
500,1.0,1,201,1083.2
500,1.0,1,503,1117.6
500,1.0,1,201,1083.7
500,1.0,1,201,1073.0
500,1.0,1,503,1151.9
500,1.0,1,503,1127.8
500,1.0,1,503,1658.5
500,1.0,1,503,1564.2
500,1.0,1,503,1644.0
500,1.0,1,503,1569.5
500,1.0,1,503,1645.6
500,1.0,1,503,1571.5
500,1.0,1,503,1641.0
